City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Pune,2023-12-15,106,44.85,238.31,73.64,36.77,0.43,71.59
Hyderabad,2023-04-10,83,37.14,202.25,11.49,58.32,2.36,5.11
Bangalore,2023-10-04,124,127.32,191.26,5.81,3.8,1.41,62.98
Ahmedabad,2023-07-07,99,79.61,147.7,95.3,17.57,1.38,90.9
Mumbai,2023-11-03,120,139.26,146.14,6.53,75.49,1.5,60.89
Delhi,2023-02-22,65,53.87,87.49,83.58,49.58,2.12,30.14
Chennai,2023-02-19,116,135.88,107.28,64.81,44.64,0.63,145.59
Delhi,2023-02-13,188,188.5,270.55,73.76,73.91,0.4,33.42
Chennai,2023-07-09,83,71.81,128.83,36.21,66.64,1.02,45.74
Bangalore,2023-02-10,57,66.29,66.27,6.8,35.03,1.11,47.56
Pune,2023-05-19,106,47.78,219.18,95.87,49.26,2.33,99.41
Bangalore,2023-05-15,137,171.51,145.85,15.97,30.92,1.74,101.56
Bangalore,2023-12-26,98,62.2,177.15,49.04,77.79,2.15,109.65
Pune,2023-09-12,49,58.65,31.32,86.73,10.65,1.21,34.25
Ahmedabad,2023-08-19,116,100.32,177.72,84.98,12.87,1.59,83.28
Hyderabad,2023-02-05,165,189.14,187.68,84.9,70.68,1.64,47.87
Hyderabad,2023-05-14,82,96.74,81.16,52.9,70.9,0.95,22.7
Chennai,2023-08-19,130,182.3,96.2,79.48,2.04,1.01,49.19
Kolkata,2023-05-17,121,102.12,213.88,35.98,21.04,0.59,36.72
Ahmedabad,2023-08-21,64,86.73,38.17,34.2,21.26,1.8,108.28
Hyderabad,2023-04-23,144,199.57,94.7,117.31,34.06,0.28,55.04
Chennai,2023-05-06,84,37.53,157.05,118.35,20.88,1.75,115.43
Mumbai,2023-09-12,146,162.6,151.68,118.09,33.11,2.08,120.76
Chennai,2023-05-04,134,106.56,214.83,103.71,27.42,0.71,108.12
Pune,2023-05-27,71,76.25,46.93,113.16,33.01,1.39,126.47
Mumbai,2023-05-31,128,112.88,214.82,31.28,15.65,2.46,79.91
Chennai,2023-01-02,199,199.29,290.32,69.2,70.85,0.63,45.44
Mumbai,2023-10-31,179,170.87,259.77,51.52,71.25,2.16,140.67
Bangalore,2023-04-14,75,125.22,22.58,16.67,53.75,0.21,28.32
Delhi,2023-07-13,140,141.46,202.55,30.79,57.55,0.75,52.18
Bangalore,2023-05-15,116,146.98,106.26,67.39,41.69,1.66,41.32
Kolkata,2023-02-07,162,195.99,156.29,109.2,35.88,1.01,98.54
Pune,2023-11-13,119,104.85,180.16,93.38,5.4,2.49,73.14
Kolkata,2023-01-06,67,80.33,24.33,111.76,35.4,2.42,144.72
Chennai,2023-04-26,87,65.95,127.83,102.88,26.72,0.59,85.74
Pune,2023-02-23,130,142.25,179.62,16.18,49.97,2.48,25.31
Mumbai,2023-09-30,117,171.25,58.25,86.52,45.12,0.88,65.87
Delhi,2023-01-13,30,25.5,21.45,77.21,17.15,0.36,62.53
Kolkata,2023-05-23,66,81.36,46.31,71.5,4.8,1.27,83.68
Hyderabad,2023-05-30,75,122.26,28.54,9.3,66.16,1.03,23.42
Chennai,2023-09-21,114,156.3,80.43,76.63,8.66,0.32,82.05
Pune,2023-12-21,152,131.11,223.31,117.22,42.27,0.94,120.3
Pune,2023-10-02,69,93.4,41.97,7.92,77.09,2.12,105.92
Hyderabad,2023-05-09,51,42.93,63.8,33.78,44.84,1.84,100.73
Hyderabad,2023-09-29,128,108.17,203.99,55.1,58.94,0.31,87.08
Mumbai,2023-03-27,28,12.73,52.5,10.29,5.18,2.17,107.03
Bangalore,2023-08-06,158,155.04,245.94,44.82,38.24,1.69,11.97
Kolkata,2023-11-21,125,178.47,93.05,6.76,74.81,1.35,83.21
Hyderabad,2023-01-04,169,127.01,284.29,113.59,69.64,1.66,121.14
Bangalore,2023-06-27,95,118.94,55.98,98.29,66.01,1.64,123.96
Ahmedabad,2023-11-26,62,49.27,96.71,29.68,31.43,0.29,94.65
Pune,2023-12-03,119,134.59,127.91,83.39,28.57,0.8,76.93
Delhi,2023-04-24,158,129.5,265.69,89.53,64.67,0.85,30.73
Chennai,2023-07-11,136,119.43,224.86,19.68,21.5,1.54,130.73
Ahmedabad,2023-02-06,104,55.33,210.36,90.09,20.58,1.07,82.48
Bangalore,2023-08-05,122,70.81,270.75,49.76,2.85,2.28,18.24
Pune,2023-10-11,193,190.51,286.17,70.95,51.28,1.23,47.52
Chennai,2023-02-22,160,160.4,241.09,15.49,40.56,0.33,84.68
Hyderabad,2023-06-12,132,178.66,118.26,18.46,13.15,1.95,94.64
Hyderabad,2023-08-18,83,25.98,216.27,13.37,66.11,1.82,16.8
Hyderabad,2023-12-05,154,120.45,261.68,106.24,20.46,2.29,90.82
Bangalore,2023-03-11,129,144.55,154.87,48.47,57.0,0.77,52.89
Kolkata,2023-06-22,58,12.16,151.22,11.47,11.27,0.47,99.14
Chennai,2023-12-14,148,192.81,124.96,37.86,69.75,0.71,144.67
Bangalore,2023-06-22,120,194.28,32.08,107.48,43.16,2.48,15.7
Mumbai,2023-05-27,162,194.17,166.47,77.38,56.27,1.25,96.0
Kolkata,2023-09-16,111,181.22,32.72,37.31,76.13,2.25,71.07
Bangalore,2023-01-08,90,42.24,201.12,49.65,19.89,0.81,57.25
Bangalore,2023-07-11,64,96.12,29.05,37.17,34.07,1.59,44.29
Hyderabad,2023-02-15,105,24.48,283.35,52.91,47.33,2.31,17.0
Kolkata,2023-08-30,93,114.8,66.15,52.29,62.65,1.3,147.87
Mumbai,2023-12-07,128,152.42,130.04,100.35,46.39,0.35,10.34
Pune,2023-11-07,183,174.3,247.61,119.97,79.74,1.48,116.5
Hyderabad,2023-07-21,123,171.43,89.26,56.81,12.07,2.39,92.9
Kolkata,2023-10-15,47,18.91,95.23,7.55,40.86,1.3,125.55
Delhi,2023-09-25,178,165.11,291.03,15.17,63.76,1.56,74.61
Pune,2023-07-26,159,159.09,199.02,97.58,72.45,1.62,147.17
Delhi,2023-04-08,126,130.96,175.35,15.47,58.66,1.46,70.38
Pune,2023-01-30,158,128.2,261.46,114.19,13.47,2.33,76.36
Bangalore,2023-12-06,146,97.24,294.41,61.65,27.64,1.66,39.82
Mumbai,2023-04-21,38,34.49,55.85,22.47,12.83,1.67,31.37
Ahmedabad,2023-10-08,145,180.39,152.71,81.77,15.44,0.64,10.93
Hyderabad,2023-04-02,62,76.05,28.91,68.1,43.69,1.02,134.66
Chennai,2023-03-19,76,72.72,110.04,15.61,39.53,1.78,79.19
Mumbai,2023-11-15,65,81.68,20.73,104.85,8.59,1.57,148.01
Pune,2023-05-07,130,185.57,86.11,92.39,43.44,1.86,14.04
Mumbai,2023-11-08,101,35.29,212.41,102.11,60.47,0.27,130.75
Kolkata,2023-08-15,73,85.46,49.36,89.8,16.22,1.5,126.9
Kolkata,2023-05-06,111,32.75,269.35,73.26,54.97,2.02,77.27
Pune,2023-08-16,124,112.05,184.32,90.73,35.67,0.49,46.15
Kolkata,2023-06-29,130,132.72,179.82,45.95,78.95,1.59,39.4
Kolkata,2023-10-04,50,39.04,88.87,23.48,16.55,0.86,30.14
Pune,2023-05-17,74,25.24,166.86,52.2,78.63,0.46,62.69
Bangalore,2023-03-16,173,174.45,248.78,34.66,15.33,1.74,139.76
Pune,2023-07-22,102,118.61,98.39,93.49,16.59,0.94,66.69
Chennai,2023-01-20,53,56.06,52.15,75.22,24.51,1.54,27.38
Bangalore,2023-11-29,78,111.19,34.51,43.71,12.48,0.35,148.54
Hyderabad,2023-06-17,124,163.88,91.3,83.37,61.3,1.57,73.38
Pune,2023-04-04,110,30.27,258.2,90.79,33.86,2.35,148.68
Delhi,2023-03-17,140,82.05,279.41,87.98,5.75,2.0,125.05
Hyderabad,2023-09-27,166,161.91,251.04,26.44,20.38,1.66,136.64
Chennai,2023-08-25,137,121.78,211.23,56.97,57.68,2.27,95.49
Chennai,2023-01-23,108,93.36,181.7,45.87,32.54,1.42,14.66
Ahmedabad,2023-02-08,116,32.21,283.15,77.19,28.12,0.52,120.13
Hyderabad,2023-10-16,149,111.36,270.29,95.69,13.83,0.92,41.03
Pune,2023-10-16,81,16.37,179.57,92.68,70.39,0.99,124.08
Pune,2023-10-30,112,170.83,55.7,50.69,64.19,0.54,38.24
Bangalore,2023-06-22,146,146.81,199.52,84.8,44.33,0.78,55.13
